batch_size,lr,attn_layers,disc_output_size,fid
10,0.0002,[32],1,408.8257595674637
10,0.0002,[32],5,403.37307260880334
10,0.0002,[],1,442.2516764865003
10,0.0002,[],5,424.14048500609454
10,0.001,[32],1,270.03075479824713
10,0.001,[32],5,317.6589356761624
10,0.001,[],1,285.8042332888358
10,0.001,[],5,352.56519284041076
16,0.0002,[32],1,379.51330434910835
16,0.0002,[32],5,403.5309535329335
16,0.0002,[],1,412.1824794140024
16,0.0002,[],5,388.5250645801462
16,0.001,[32],1,288.7485817840884
16,0.001,[32],5,272.22961750931967
16,0.001,[],1,325.5064751115813
16,0.001,[],5,297.1486430503699
